"source","term_name","term_id","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"scsig.all.v1.0.symbols","na","Hay_Bone_Marrow_Stromal","5.904941383004906e-13","12.228784409170512","1754","49","26","18656","KCND2,FBLN1,ABCA9,SVEP1,ABCA10,TWIST2,LAMA2,DCN,ABCA6,BICC1,PODN,ADH1B,SLIT2,FGF7,DCLK1,ABCA8,SMOC2,COL6A3,CCDC80,TENM4,ZFHX4,PDGFRA,APOD,ASAP3,KCNT2,GLI3"
"scsig.all.v1.0.symbols","na","Gao_Large_Intestine_Adult_CJ_Immune_Cells","1.3034030312370553e-9","8.884921273329681","503","49","14","18656","SCARA5,FBLN1,DCN,ADH1B,ABCA8,NEGR1,COL6A3,GALNT15,CCDC80,PDGFRA,FBLN5,PTPRS,APOD,GLI3"
"scsig.all.v1.0.symbols","na","Gao_Esophagus_25W_C4_FGFR1High_Epithelial_Cells","0.0000032501964203835297","5.4880903923408075","208","49","8","18656","SCARA5,AOX1,SVEP1,LAMA2,MFAP5,TENM4,ADAMTSL1,ZFHX4"
"scsig.all.v1.0.symbols","na","Gao_Large_Intestine_24W_C1_DCLK1pos_Progenitor","0.000011390255948050542","4.94346651687111","99","49","6","18656","FBLN1,SVEP1,C3,LAMA2,DCN,CCDC80"
"scsig.all.v1.0.symbols","na","Aizarani_Liver_C21_Stellate_cells_1","0.000593931399002669","3.2262637145392166","195","49","6","18656","FBLN1,DCN,COL6A3,CCDC80,PDGFRA,FBLN5"
"scsig.all.v1.0.symbols","na","Fan_Embryonic_CTX_Brain_Endothelial_2","0.0006808268440420206","3.1669633289671157","303","49","7","18656","FBLN1,PID1,LAMA2,DCN,SMOC2,CCDC80,APOD"
"scsig.all.v1.0.symbols","na","Hu_Fetal_Retina_Fibroblast","0.003141125206870369","2.5029147520544903","385","49","7","18656","SCARA5,FBLN1,DCN,COL6A3,CCDC80,PDGFRA,APOD"
"scsig.all.v1.0.symbols","na","Manno_Midbrain_Neurotypes_hRgl3","0.005657089625054938","2.2474069406941912","572","49","8","18656","DCN,KCNIP1,SLIT2,DCLK1,ABCA8,SPOCK1,GALNT15,FBLN5"
"scsig.all.v1.0.symbols","na","Manno_Midbrain_Neurotypes_hDA1","0.006606529173036933","2.180026642917437","585","49","8","18656","KCND2,PID1,LSAMP,DNM1,DCLK1,NEGR1,SPOCK1,ZFHX4"
"scsig.all.v1.0.symbols","na","Gao_Small_Intestine_24W_C7_Secretory_Progenitor","0.01659005310597934","1.7801522237648575","51","49","3","18656","ZNF385B,CACNB4,KCNT2"
