"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"1",4.30141675882694e-263,4.00598956268538,0.315,0.056,1.57436154789825e-258,"0","CD96"
"2",3.82984437513654e-197,3.86099655428985,0.252,0.046,1.40176133974373e-192,"0","BCL11B"
"3",3.45168380816491e-210,3.76941616668224,0.281,0.056,1.26335079062644e-205,"0","IL7R"
"4",2.25621291355995e-169,3.63036290539074,0.257,0.058,8.25796488492077e-165,"0","ACAP1"
"5",3.42886329832773e-163,3.60119196580319,0.277,0.072,1.25499825582093e-158,"0","CARD11"
"6",1.68288202222563e-208,3.58488879395181,0.26,0.046,6.15951648954803e-204,"0","CD69"
"7",1.57448348315059e-248,3.41936718512525,0.38,0.095,5.76276699667946e-244,"0","SKAP1"
"8",2.01975207237387e-128,2.77197749384087,0.373,0.163,7.39249456009562e-124,"0","RIPOR2"
"9",2.30264656799344e-91,2.77029144016691,0.272,0.11,8.42791670351277e-87,"0","ITGAL"
"10",7.14108099807922e-87,2.75117713126004,0.284,0.123,2.61370705610698e-82,"0","IKZF1"
"11",4.67833804008555e-53,2.50191900825551,0.284,0.162,1.71231850605171e-48,"0","CLEC2D"
"12",3.22077793574223e-200,2.27532027836475,0.527,0.241,1.17883693226101e-195,"0","PTPRC"
"13",3.00073553645538e-133,2.23848256097138,0.481,0.269,1.09829921369803e-128,"0","ARHGAP15"
"14",8.00579791117033e-55,2.16747762011694,0.291,0.163,2.93020209346745e-50,"0","ARAP2"
"15",1.39959839322276e-33,2.11948764768071,0.282,0.192,5.12267007903461e-29,"0","PARP8"
"16",1.35344861123395e-27,2.07942768459259,0.274,0.196,4.95375726197739e-23,"0","PDE7A"
"17",2.27869887876996e-26,2.07023473672838,0.292,0.223,8.34026576618594e-22,"0","RESF1"
"18",2.11870274918269e-70,2.00694085564671,0.442,0.323,7.75466393228355e-66,"0","ANKRD44"
"19",1.44030169907481e-39,1.94249854591809,0.26,0.153,5.27164824878372e-35,"0","LCP2"
"20",1.02370671461887e-52,1.92778405612327,0.297,0.168,3.74686894617654e-48,"0","DOCK2"
"21",3.82355345296534e-70,1.92582938788969,0.343,0.189,1.39945879931985e-65,"0","FYB1"
"22",3.1024745879939e-38,1.80209067237158,0.27,0.165,1.13553672395165e-33,"0","IQGAP2"
"23",7.53316998841069e-22,1.79505403879406,0.264,0.196,2.7572155474582e-17,"0","INPP5D"
"24",6.80887836606604e-40,1.76267513914071,0.275,0.165,2.49211757076383e-35,"0","AOAH"
"25",4.57747159060485e-20,1.71568208389874,0.28,0.219,1.67540037687728e-15,"0","NLRC5"
"26",1.1166504764124e-38,1.69577150092131,0.3,0.192,4.08705240871701e-34,"0","MYO1F"
"27",5.67515521678438e-12,1.68157769273586,0.284,0.257,2.07716356089525e-07,"0","CDC42SE2"
"28",3.70384241467691e-31,1.55899224005038,0.398,0.342,1.3556433621959e-26,"0","EML4"
