"source","term_name","term_id","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"scsig.all.v1.0.symbols","na","Muraro_Pancreas_Mesenchymal_Stromal_Cell","1.48707329957482e-20","19.82766762406964","680","48","24","18656","ITGA11,COL1A1,TBX2,THBS2,POSTN,INHBA,ITGA1,FN1,VCAN,COL18A1,TIMP1,COL1A2,FKBP10,ADAMTS2,COL5A1,MICAL2,AEBP1,BGN,SERPINE1,CCDC102B,ACTA2,UACA,FAT1,COL4A1"
"scsig.all.v1.0.symbols","na","Gao_Large_Intestine_Adult_CJ_Immune_Cells","3.1622291905715725e-16","15.500006656670292","503","48","19","18656","ITGA11,COL1A1,TBX2,POSTN,ITGA1,SLC24A3,VCAN,COL18A1,COL27A1,COL1A2,FKBP10,COL5A1,SGIP1,AEBP1,BGN,MRVI1,CCDC102B,ACTA2,COL4A1"
"scsig.all.v1.0.symbols","na","Aizarani_Liver_C21_Stellate_cells_1","8.601720574135925e-14","13.065414669557086","195","48","13","18656","COL1A1,THBS2,TIMP1,COL1A2,ADAMTS2,COL5A1,ITGA8,AEBP1,BGN,SERPINE1,ACTA2,PRSS23,COL4A1"
"scsig.all.v1.0.symbols","na","Aizarani_Liver_C33_Stellate_cells_2","8.085712476467218e-13","12.092281706003066","126","48","11","18656","COL1A1,TBX2,ID4,ITGA1,SEMA5A,COL1A2,COL5A1,BGN,ACTA2,UACA,COL4A1"
"scsig.all.v1.0.symbols","na","Fan_Embryonic_CTX_Brain_Endothelial_2","1.0003913974261695e-12","11.999830051514115","303","48","14","18656","ITGA11,TBX2,ITGA1,FN1,COL18A1,TIMP1,SEMA5A,COL1A2,TAGLN,AEBP1,BGN,CCDC102B,UACA,COL4A1"
"scsig.all.v1.0.symbols","na","Hu_Fetal_Retina_Fibroblast","5.225263334531258e-10","9.281891817781121","385","48","13","18656","COL1A1,FN1,VCAN,TIMP1,COL27A1,COL1A2,COL5A1,AEBP1,BGN,FBLIM1,UACA,PRSS23,COL4A1"
"scsig.all.v1.0.symbols","na","Manno_Midbrain_Neurotypes_hPeric","3.3070243784550414e-9","8.480562603577534","795","48","16","18656","ITGA11,TBX2,ITGA1,FN1,COL18A1,TIMP1,SEMA5A,COL1A2,ITGA8,TAGLN,BGN,CACNA1C,ACTA2,UACA,PLEKHG2,COL4A1"
"scsig.all.v1.0.symbols","na","Menon_Fetal_Kidney_3_Stromal_Cells","7.363658141175843e-8","7.132906381880025","81","48","7","18656","COL1A1,POSTN,FN1,VCAN,COL1A2,UACA,COL4A1"
"scsig.all.v1.0.symbols","na","Hay_Bone_Marrow_Stromal","1.7110013130685096e-7","6.766749657169485","1754","48","20","18656","COL1A1,THBS2,ID4,ITGA1,FN1,COL27A1,COL1A2,FKBP10,ADAMTS2,COL5A1,TAGLN,ITGBL1,BGN,CACNA1C,ARSJ,FBLIM1,UACA,FAT1,COL4A1,NFASC"
"scsig.all.v1.0.symbols","na","Fan_Embryonic_CTX_Big_Groups_Brain_Endothelial","0.000001268695386636578","5.896642639357777","365","48","10","18656","ITGA1,FN1,COL18A1,TIMP1,SEMA5A,COL1A2,AEBP1,BGN,UACA,COL4A1"
"scsig.all.v1.0.symbols","na","Lake_Adult_Kidney_C27_Vascular_Smooth_Muscle_Cells_and_pericytes","0.000006824627711824984","5.165921034706248","155","48","7","18656","TBX2,ITGA1,COL18A1,TAGLN,CACNA1C,ACTA2,COL4A1"
"scsig.all.v1.0.symbols","na","Gao_Large_Intestine_24W_C1_DCLK1pos_Progenitor","0.000010152547125613663","4.993424985945635","99","48","6","18656","COL1A1,THBS2,VCAN,COL1A2,ADAMTS2,COL5A1"
"scsig.all.v1.0.symbols","na","Lake_Adult_Kidney_C26_Mesangial_Cells","0.000016851429217232498","4.773363259490859","177","48","7","18656","ITGA11,POSTN,ITGA1,NRG3,ITGA8,UACA,COL4A1"
"scsig.all.v1.0.symbols","na","Lake_Adult_Kidney_C22_Endothelial_Cells_glomerular_capillaries","0.00006918893925392773","4.159963327579729","137","48","6","18656","ITGA1,NRG3,ITGA8,CACNA1C,UACA,COL4A1"
"scsig.all.v1.0.symbols","na","Lake_Adult_Kidney_C2_Podocytes","0.0008549581981358323","3.068055118912468","212","48","6","18656","ITGA1,SEMA5A,SGIP1,UACA,FAT1,NFASC"
"scsig.all.v1.0.symbols","na","Muraro_Pancreas_Endothelial_Cell","0.0018762318302671579","2.726713500506392","362","48","7","18656","ITGA1,PDGFA,BGN,SERPINE1,UACA,PRSS23,COL4A1"
"scsig.all.v1.0.symbols","na","Lake_Adult_Kidney_C28_Interstitium","0.0036275033756054545","2.4403921747534545","86","48","4","18656","ITGA1,CACNA1C,UACA,COL4A1"
"scsig.all.v1.0.symbols","na","Aizarani_Liver_C29_MVECs_2","0.0075850889929082056","2.120039319438591","314","48","6","18656","POSTN,TIMP1,BGN,SERPINE1,UACA,PRSS23"
"scsig.all.v1.0.symbols","na","Aizarani_Liver_C20_LSECs_3","0.04924491065653258","1.3076386461408613","296","48","5","18656","TIMP1,SERPINE1,UACA,PRSS23,COL4A1"
